"Product","Price","Link"
"Alienware 13 i5-4210U Processor 8GB Memory 1TB HDD NVIDIA(R) GeForce(R) GTX 860M with 2GB GDDR5 Windows 8.1","$1,101.45","https://www.newegg.com/Product/Product.aspx?Item=9SIA89C2W58785&cm_re=alienware-_-9SIA89C2W58785-_-Product"
"Alienware 17 R4 AW17R4-7004SLV 17.3"" Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop","$2,299.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC4Z5XW4753&cm_re=alienware-_-9SIAC4Z5XW4753-_-Product"
"Alienware 15- i7-8750H- GTX 1060 OC- 128GB SSD + 1TB HDD- 16GB RAM","$1,749.99","https://www.newegg.com/Product/Product.aspx?Item=9SIADYY7G58498&cm_re=alienware-_-9SIADYY7G58498-_-Product"
"Alienware 17- i7-8750H- GTX 1060 OC- 128GB SSD + 1TB HDD- 16GB RAM","$1,749.99","https://www.newegg.com/Product/Product.aspx?Item=9SIADYY7G58529&cm_re=alienware-_-9SIADYY7G58529-_-Product"
"Refurbished: Alienware 17 R4 - i7-7820HK - 32GB Ram - 1080 GPU","$2,300.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAF5T7C38424&cm_re=alienware-_-9SIAF5T7C38424-_-Product"
"Dell Alienware AW3418DW 34"" Curved WQHD 4ms(GTG) 120Hz NVIDIA G-Sync Gaming Monitor, 300 cd/m², DP, HDMI, USB3.0, Tilt, Swivel, Height-Adjustable","$1,499.95 (3 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ7C80999&cm_re=alienware-_-24-260-555-_-Product"
"New Dell Alienware M14X 14"" LCD Screen Glossy Complete Assembly WLAN N1WNK Red","$74.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA9AX5CH8093&cm_re=alienware-_-9SIA9AX5CH8093-_-Product"
"Refurbished: Alienware Alpha Intel Core i5-6400T X4 2.2GHz 8GB 256GB SSD Win10, Black (Certified Refurbished)","$699.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16883302048&cm_re=alienware-_-83-302-048-_-Product"
"Refurbished: Alienware Alpha Intel Core i7-6700T X4 3.2GHz 16GB 256GB SSD Win10, Black (Certified Refurbished)","$849.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16883302046&cm_re=alienware-_-83-302-046-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 1TB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,800.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7795&cm_re=alienware-_-9SIAC3J6NT7795-_-Product"
"Alienware Area 51 Intel Core i9-7920X 12 Core 2.9GHz - 2TB 7200RPM + 2TB SSD - 32GB DDR4 SDRAM - 2X SLI Nvidia GeForce GTX 1080 TI 11GB GDDR5X - 1000W - Windows 10 Gaming Desktop","$8,600.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G37965&cm_re=alienware-_-9SIAC3J5G37965-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 500GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1080 8GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,500.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7793&cm_re=alienware-_-9SIAC3J6NT7793-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 240GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,050.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7787&cm_re=alienware-_-9SIAC3J6NT7787-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 1TB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1070 TI 8GB GDDR5/1000W - Windows 10 Gaming Desktop","$3,875.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6XH0536&cm_re=alienware-_-9SIAC3J6XH0536-_-Product"
"Alienware Alpha Intel Core i7-4785T X4 2.2GHz 8GB 1TB Win10 (Black)","$899.95 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ58J7026&cm_re=alienware-_-83-160-644-_-Product"
"Alienware Area 51 Intel Core i9-7920X 12 Core 2.9GHz - 2TB 7200RPM + 2TB SSD - 32GB DDR4 SDRAM - 2X SLI Nvidia GeForce GTX 1080 8GB GDDR5X - 1000W - Windows 10 Gaming Desktop","$8,200.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4527&cm_re=alienware-_-9SIAC3J6PT4527-_-Product"
"Alienware Area 51 Intel Core i9-7920X 12 Core 2.9GHz - 4TB 7200RPM + 500GB SSD - 64GB DDR4 SDRAM - 2X SLI Nvidia GeForce GTX 1080 8GB GDDR5X - 1000W - Windows 10 Gaming Desktop","$8,200.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4539&cm_re=alienware-_-9SIAC3J6PT4539-_-Product"
